
/bin/ar:     file format elf64-x86-64


Disassembly of section .init:

0000000000002000 <.init>:
    2000:	f3 0f 1e fa          	endbr64 
    935d:	48 8d 35 08 45 00 00 	lea    0x4508(%rip),%rsi        # d86c <bfd_seek@plt+0xac3c>
    9364:	31 c0                	xor    %eax,%eax
    9366:	48 83 ec 08          	sub    $0x8,%rsp
    936a:	48 89 fa             	mov    %rdi,%rdx
    936d:	bf 01 00 00 00       	mov    $0x1,%edi
    9372:	e8 59 97 ff ff       	callq  2ad0 <__printf_chk@plt>
    9377:	ba 05 00 00 00       	mov    $0x5,%edx
    937c:	48 8d 35 ed 43 00 00 	lea    0x43ed(%rip),%rsi        # d770 <bfd_seek@plt+0xab40>
    9383:	31 ff                	xor    %edi,%edi
    9385:	e8 46 94 ff ff       	callq  27d0 <dcgettext@plt>
    938a:	bf 01 00 00 00       	mov    $0x1,%edi
    938f:	48 89 c6             	mov    %rax,%rsi
    9392:	31 c0                	xor    %eax,%eax
    9394:	e8 37 97 ff ff       	callq  2ad0 <__printf_chk@plt>
    9399:	ba 05 00 00 00       	mov    $0x5,%edx
    939e:	48 8d 35 03 44 00 00 	lea    0x4403(%rip),%rsi        # d7a8 <bfd_seek@plt+0xab78>
    93a5:	31 ff                	xor    %edi,%edi
    93a7:	e8 24 94 ff ff       	callq  27d0 <dcgettext@plt>
    93ac:	bf 01 00 00 00       	mov    $0x1,%edi
    93b1:	48 89 c6             	mov    %rax,%rsi
    93b4:	31 c0                	xor    %eax,%eax
    93b6:	e8 15 97 ff ff       	callq  2ad0 <__printf_chk@plt>
    93bb:	31 ff                	xor    %edi,%edi
    93bd:	e8 de 97 ff ff       	callq  2ba0 <exit@plt>
    93c2:	66 2e 0f 1f 84 00 00 	nopw   %cs:0x0(%rax,%rax,1)
    93c9:	00 00 00 
    93cc:	0f 1f 40 00          	nopl   0x0(%rax)
    93d0:	f3 0f 1e fa          	endbr64 
    93d4:	48 89 fa             	mov    %rdi,%rdx
    93d7:	b8 64 00 00 00       	mov    $0x64,%eax
    93dc:	81 e2 00 f0 00 00    	and    $0xf000,%edx
    93e2:	48 81 fa 00 40 00 00 	cmp    $0x4000,%rdx
    93e9:	74 4c                	je     9437 <bfd_seek@plt+0x6807>
    93eb:	b8 6c 00 00 00       	mov    $0x6c,%eax
    93f0:	48 81 fa 00 a0 00 00 	cmp    $0xa000,%rdx
    93f7:	74 3e                	je     9437 <bfd_seek@plt+0x6807>
    93f9:	b8 62 00 00 00       	mov    $0x62,%eax
    93fe:	48 81 fa 00 60 00 00 	cmp    $0x6000,%rdx
    9405:	74 30                	je     9437 <bfd_seek@plt+0x6807>
    9407:	b8 63 00 00 00       	mov    $0x63,%eax
    940c:	48 81 fa 00 20 00 00 	cmp    $0x2000,%rdx
    9413:	74 22                	je     9437 <bfd_seek@plt+0x6807>
    9415:	b8 73 00 00 00       	mov    $0x73,%eax
    941a:	48 81 fa 00 c0 00 00 	cmp    $0xc000,%rdx
    9421:	74 14                	je     9437 <bfd_seek@plt+0x6807>
    9423:	48 81 fa 00 10 00 00 	cmp    $0x1000,%rdx
    942a:	b8 70 00 00 00       	mov    $0x70,%eax
    942f:	ba 2d 00 00 00       	mov    $0x2d,%edx
    9434:	0f 45 c2             	cmovne %edx,%eax
    9437:	88 06                	mov    %al,(%rsi)
    9439:	48 89 f8             	mov    %rdi,%rax
    943c:	25 00 01 00 00       	and    $0x100,%eax
    9441:	48 83 f8 01          	cmp    $0x1,%rax
    9445:	19 c0                	sbb    %eax,%eax
    9447:	83 e0 bb             	and    $0xffffffbb,%eax
    944a:	83 c0 72             	add    $0x72,%eax
    944d:	88 46 01             	mov    %al,0x1(%rsi)
    9450:	48 89 f8             	mov    %rdi,%rax
    9453:	25 80 00 00 00       	and    $0x80,%eax
    9458:	48 83 f8 01          	cmp    $0x1,%rax
    945c:	19 c0                	sbb    %eax,%eax
    945e:	83 e0 b6             	and    $0xffffffb6,%eax
    9461:	83 c0 77             	add    $0x77,%eax
    9464:	88 46 02             	mov    %al,0x2(%rsi)
    9467:	48 89 f8             	mov    %rdi,%rax
    946a:	83 e0 40             	and    $0x40,%eax
    946d:	48 83 f8 01          	cmp    $0x1,%rax
    9471:	48 89 f8             	mov    %rdi,%rax
    9474:	19 c9                	sbb    %ecx,%ecx
    9476:	83 e0 20             	and    $0x20,%eax
    9479:	83 e1 b5             	and    $0xffffffb5,%ecx
    947c:	83 c1 78             	add    $0x78,%ecx
    947f:	48 83 f8 01          	cmp    $0x1,%rax
    9483:	19 c0                	sbb    %eax,%eax
    9485:	88 4e 03             	mov    %cl,0x3(%rsi)
    9488:	83 e0 bb             	and    $0xffffffbb,%eax
    948b:	83 c0 72             	add    $0x72,%eax
    948e:	88 46 04             	mov    %al,0x4(%rsi)
    9491:	48 89 f8             	mov    %rdi,%rax
    9494:	83 e0 10             	and    $0x10,%eax
    9497:	48 83 f8 01          	cmp    $0x1,%rax
    949b:	19 c0                	sbb    %eax,%eax
    949d:	83 e0 b6             	and    $0xffffffb6,%eax
    94a0:	83 c0 77             	add    $0x77,%eax
    94a3:	88 46 05             	mov    %al,0x5(%rsi)
    94a6:	48 89 f8             	mov    %rdi,%rax
    94a9:	83 e0 08             	and    $0x8,%eax
    94ac:	48 83 f8 01          	cmp    $0x1,%rax
    94b0:	48 89 f8             	mov    %rdi,%rax
    94b3:	19 d2                	sbb    %edx,%edx
    94b5:	83 e0 04             	and    $0x4,%eax
    94b8:	83 e2 b5             	and    $0xffffffb5,%edx
    94bb:	83 c2 78             	add    $0x78,%edx
    94be:	48 83 f8 01          	cmp    $0x1,%rax
    94c2:	19 c0                	sbb    %eax,%eax
    94c4:	88 56 06             	mov    %dl,0x6(%rsi)
    94c7:	83 e0 bb             	and    $0xffffffbb,%eax
    94ca:	83 c0 72             	add    $0x72,%eax
    94cd:	88 46 07             	mov    %al,0x7(%rsi)
    94d0:	48 89 f8             	mov    %rdi,%rax
    94d3:	83 e0 02             	and    $0x2,%eax
    94d6:	48 83 f8 01          	cmp    $0x1,%rax
    94da:	19 c0                	sbb    %eax,%eax
    94dc:	83 e0 b6             	and    $0xffffffb6,%eax
    94df:	83 c0 77             	add    $0x77,%eax
    94e2:	88 46 08             	mov    %al,0x8(%rsi)
    94e5:	48 89 f8             	mov    %rdi,%rax
    94e8:	83 e0 01             	and    $0x1,%eax
    94eb:	48 83 f8 01          	cmp    $0x1,%rax
    94ef:	19 c0                	sbb    %eax,%eax
    94f1:	83 e0 b5             	and    $0xffffffb5,%eax
    94f4:	83 c0 78             	add    $0x78,%eax
    94f7:	88 46 09             	mov    %al,0x9(%rsi)
    94fa:	f7 c7 00 08 00 00    	test   $0x800,%edi
    9500:	74 15                	je     9517 <bfd_seek@plt+0x68e7>
    9502:	80 f9 78             	cmp    $0x78,%cl
    9505:	41 b8 53 00 00 00    	mov    $0x53,%r8d
    950b:	b9 73 00 00 00       	mov    $0x73,%ecx
    9510:	41 0f 45 c8          	cmovne %r8d,%ecx
    9514:	88 4e 03             	mov    %cl,0x3(%rsi)
    9517:	f7 c7 00 04 00 00    	test   $0x400,%edi
    951d:	74 13                	je     9532 <bfd_seek@plt+0x6902>
    951f:	80 fa 78             	cmp    $0x78,%dl
    9522:	b9 53 00 00 00       	mov    $0x53,%ecx
    9527:	ba 73 00 00 00       	mov    $0x73,%edx
    952c:	0f 45 d1             	cmovne %ecx,%edx
    952f:	88 56 06             	mov    %dl,0x6(%rsi)
    9532:	f7 c7 00 02 00 00    	test   $0x200,%edi
    9538:	74 12                	je     954c <bfd_seek@plt+0x691c>
    953a:	3c 78                	cmp    $0x78,%al
    953c:	ba 54 00 00 00       	mov    $0x54,%edx
    9541:	b8 74 00 00 00       	mov    $0x74,%eax
    9546:	0f 45 c2             	cmovne %edx,%eax
    9549:	88 46 09             	mov    %al,0x9(%rsi)
    954c:	c3                   	retq   
    954d:	0f 1f 00             	nopl   (%rax)
    9550:	f3 0f 1e fa          	endbr64 
    9554:	41 54                	push   %r12
    9556:	55                   	push   %rbp
    9557:	53                   	push   %rbx
    9558:	48 85 ff             	test   %rdi,%rdi
    955b:	0f 84 84 00 00 00    	je     95e5 <bfd_seek@plt+0x69b5>
    9561:	48 83 3f 00          	cmpq   $0x0,(%rdi)
    9565:	48 89 fd             	mov    %rdi,%rbp
    9568:	74 66                	je     95d0 <bfd_seek@plt+0x69a0>
    956a:	b8 01 00 00 00       	mov    $0x1,%eax
    956f:	90                   	nop
    9570:	89 c2                	mov    %eax,%edx
    9572:	48 83 c0 01          	add    $0x1,%rax
    9576:	48 83 7c c5 f8 00    	cmpq   $0x0,-0x8(%rbp,%rax,8)
    957c:	75 f2                	jne    9570 <bfd_seek@plt+0x6940>
    957e:	8d 7a 01             	lea    0x1(%rdx),%edi
    9581:	48 63 ff             	movslq %edi,%rdi
    9584:	48 c1 e7 03          	shl    $0x3,%rdi
    9588:	e8 13 93 ff ff       	callq  28a0 <xmalloc@plt>
    958d:	48 8b 7d 00          	mov    0x0(%rbp),%rdi
    9591:	49 89 c4             	mov    %rax,%r12
    9594:	48 85 ff             	test   %rdi,%rdi
    9597:	74 47                	je     95e0 <bfd_seek@plt+0x69b0>
    9599:	31 db                	xor    %ebx,%ebx
    959b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)
    95a0:	e8 3b 93 ff ff       	callq  28e0 <xstrdup@plt>
    95a5:	49 89 04 1c          	mov    %rax,(%r12,%rbx,1)
    95a9:	48 83 c3 08          	add    $0x8,%rbx
    95ad:	48 8b 7c 1d 00       	mov    0x0(%rbp,%rbx,1),%rdi
    95b2:	48 85 ff             	test   %rdi,%rdi
    95b5:	75 e9                	jne    95a0 <bfd_seek@plt+0x6970>
    95b7:	4c 01 e3             	add    %r12,%rbx
    95ba:	48 c7 03 00 00 00 00 	movq   $0x0,(%rbx)
    95c1:	4c 89 e0             	mov    %r12,%rax
    95c4:	5b                   	pop    %rbx
    95c5:	5d                   	pop    %rbp
    95c6:	41 5c                	pop    %r12
    95c8:	c3                   	retq   
    95c9:	0f 1f 80 00 00 00 00 	nopl   0x0(%rax)
    95d0:	bf 08 00 00 00       	mov    $0x8,%edi
    95d5:	eb b1                	jmp    9588 <bfd_seek@plt+0x6958>
    95d7:	66 0f 1f 84 00 00 00 	nopw   0x0(%rax,%rax,1)
    95de:	00 00 
    95e0:	48 89 c3             	mov    %rax,%rbx
    95e3:	eb d5                	jmp    95ba <bfd_seek@plt+0x698a>
    95e5:	45 31 e4             	xor    %r12d,%r12d
    95e8:	eb d7                	jmp    95c1 <bfd_seek@plt+0x6991>
    95ea:	66 0f 1f 44 00 00    	nopw   0x0(%rax,%rax,1)
    95f0:	f3 0f 1e fa          	endbr64 
    95f4:	48 85 ff             	test   %rdi,%rdi
    95f7:	74 37                	je     9630 <bfd_seek@plt+0x6a00>
    95f9:	55                   	push   %rbp
    95fa:	48 89 fd             	mov    %rdi,%rbp
    95fd:	53                   	push   %rbx
    95fe:	48 83 ec 08          	sub    $0x8,%rsp
    9602:	48 8b 3f             	mov    (%rdi),%rdi
    9605:	48 85 ff             	test   %rdi,%rdi
    9608:	74 18                	je     9622 <bfd_seek@plt+0x69f2>
    960a:	48 89 eb             	mov    %rbp,%rbx
    960d:	0f 1f 00             	nopl   (%rax)
    9610:	e8 5b 90 ff ff       	callq  2670 <free@plt>
    9615:	48 8b 7b 08          	mov    0x8(%rbx),%rdi
    9619:	48 83 c3 08          	add    $0x8,%rbx
    961d:	48 85 ff             	test   %rdi,%rdi
    9620:	75 ee                	jne    9610 <bfd_seek@plt+0x69e0>
    9622:	48 83 c4 08          	add    $0x8,%rsp
    9626:	48 89 ef             	mov    %rbp,%rdi
    9629:	5b                   	pop    %rbx
    962a:	5d                   	pop    %rbp
    962b:	e9 40 90 ff ff       	jmpq   2670 <free@plt>
    9630:	c3                   	retq   
    9631:	66 66 2e 0f 1f 84 00 	data16 nopw %cs:0x0(%rax,%rax,1)
    9638:	00 00 00 00 
    963c:	0f 1f 40 00          	nopl   0x0(%rax)
    9640:	f3 0f 1e fa          	endbr64 
    9644:	45 31 c9             	xor    %r9d,%r9d
    9647:	48 85 ff             	test   %rdi,%rdi
    964a:	0f 84 81 02 00 00    	je     98d1 <bfd_seek@plt+0x6ca1>
    9650:	41 57                	push   %r15
    9652:	45 31 ff             	xor    %r15d,%r15d
    9655:	41 56                	push   %r14
    9657:	45 31 f6             	xor    %r14d,%r14d
    965a:	41 55                	push   %r13
    965c:	45 31 ed             	xor    %r13d,%r13d
    965f:	41 54                	push   %r12
    9661:	45 31 e4             	xor    %r12d,%r12d
    9664:	55                   	push   %rbp
    9665:	53                   	push   %rbx
    9666:	48 89 fb             	mov    %rdi,%rbx
    9669:	48 83 ec 38          	sub    $0x38,%rsp
    966d:	4c 89 4c 24 08       	mov    %r9,0x8(%rsp)
    9672:	e8 69 91 ff ff       	callq  27e0 <strlen@plt>
    9677:	48 8d 78 01          	lea    0x1(%rax),%rdi
    967b:	e8 20 92 ff ff       	callq  28a0 <xmalloc@plt>
    9680:	48 8b 2d 41 79 00 00 	mov    0x7941(%rip),%rbp        # 10fc8 <bfd_seek@plt+0xe398>
    9687:	4c 8b 4c 24 08       	mov    0x8(%rsp),%r9
    968c:	45 31 d2             	xor    %r10d,%r10d
    968f:	48 89 44 24 10       	mov    %rax,0x10(%rsp)
    9694:	eb 0e                	jmp    96a4 <bfd_seek@plt+0x6a74>
    9696:	66 2e 0f 1f 84 00 00 	nopw   %cs:0x0(%rax,%rax,1)
    969d:	00 00 00 
    96a0:	48 83 c3 01          	add    $0x1,%rbx
    96a4:	0f b6 03             	movzbl (%rbx),%eax
    96a7:	f6 44 45 00 40       	testb  $0x40,0x0(%rbp,%rax,2)
    96ac:	75 f2                	jne    96a0 <bfd_seek@plt+0x6a70>
    96ae:	4a 8d 0c e5 00 00 00 	lea    0x0(,%r12,8),%rcx
    96b5:	00 
    96b6:	48 89 4c 24 08       	mov    %rcx,0x8(%rsp)
    96bb:	45 85 d2             	test   %r10d,%r10d
    96be:	74 0d                	je     96cd <bfd_seek@plt+0x6a9d>
    96c0:	41 8d 42 ff          	lea    -0x1(%r10),%eax
    96c4:	49 8d 34 09          	lea    (%r9,%rcx,1),%rsi
    96c8:	44 39 e0             	cmp    %r12d,%eax
    96cb:	7f 38                	jg     9705 <bfd_seek@plt+0x6ad5>
    96cd:	4d 85 c9             	test   %r9,%r9
    96d0:	0f 84 ca 01 00 00    	je     98a0 <bfd_seek@plt+0x6c70>
    96d6:	45 01 d2             	add    %r10d,%r10d
    96d9:	4c 89 cf             	mov    %r9,%rdi
    96dc:	49 63 f2             	movslq %r10d,%rsi
    96df:	44 89 54 24 18       	mov    %r10d,0x18(%rsp)
    96e4:	48 c1 e6 03          	shl    $0x3,%rsi
    96e8:	e8 33 91 ff ff       	callq  2820 <xrealloc@plt>
    96ed:	44 8b 54 24 18       	mov    0x18(%rsp),%r10d
    96f2:	49 89 c1             	mov    %rax,%r9
    96f5:	48 8b 44 24 08       	mov    0x8(%rsp),%rax
    96fa:	49 8d 34 01          	lea    (%r9,%rax,1),%rsi
    96fe:	48 c7 06 00 00 00 00 	movq   $0x0,(%rsi)
    9705:	0f b6 03             	movzbl (%rbx),%eax
    9708:	48 8b 54 24 10       	mov    0x10(%rsp),%rdx
    970d:	84 c0                	test   %al,%al
    970f:	75 1c                	jne    972d <bfd_seek@plt+0x6afd>
    9711:	eb 65                	jmp    9778 <bfd_seek@plt+0x6b48>
    9713:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)
    9718:	88 02                	mov    %al,(%rdx)
    971a:	45 31 ff             	xor    %r15d,%r15d
    971d:	48 83 c2 01          	add    $0x1,%rdx
    9721:	0f b6 43 01          	movzbl 0x1(%rbx),%eax
    9725:	48 83 c3 01          	add    $0x1,%rbx
    9729:	84 c0                	test   %al,%al
    972b:	74 4b                	je     9778 <bfd_seek@plt+0x6b48>
    972d:	0f b6 f8             	movzbl %al,%edi
    9730:	f6 44 7d 00 40       	testb  $0x40,0x0(%rbp,%rdi,2)
    9735:	74 0f                	je     9746 <bfd_seek@plt+0x6b16>
    9737:	44 89 ef             	mov    %r13d,%edi
    973a:	44 09 ff             	or     %r15d,%edi
    973d:	44 09 f7             	or     %r14d,%edi
    9740:	0f 84 2a 01 00 00    	je     9870 <bfd_seek@plt+0x6c40>
    9746:	45 85 ff             	test   %r15d,%r15d
    9749:	75 cd                	jne    9718 <bfd_seek@plt+0x6ae8>
    974b:	3c 5c                	cmp    $0x5c,%al
    974d:	0f 84 bd 00 00 00    	je     9810 <bfd_seek@plt+0x6be0>
    9753:	45 85 ed             	test   %r13d,%r13d
    9756:	0f 84 c4 00 00 00    	je     9820 <bfd_seek@plt+0x6bf0>
    975c:	3c 27                	cmp    $0x27,%al
    975e:	0f 84 fc 00 00 00    	je     9860 <bfd_seek@plt+0x6c30>
    9764:	48 83 c3 01          	add    $0x1,%rbx
    9768:	88 02                	mov    %al,(%rdx)
    976a:	48 83 c2 01          	add    $0x1,%rdx
    976e:	0f b6 03             	movzbl (%rbx),%eax
    9771:	84 c0                	test   %al,%al
    9773:	75 b8                	jne    972d <bfd_seek@plt+0x6afd>
    9775:	0f 1f 00             	nopl   (%rax)
    9778:	c6 02 00             	movb   $0x0,(%rdx)
    977b:	48 8b 7c 24 10       	mov    0x10(%rsp),%rdi
    9780:	4c 89 4c 24 28       	mov    %r9,0x28(%rsp)
    9785:	44 89 54 24 24       	mov    %r10d,0x24(%rsp)
    978a:	48 89 74 24 18       	mov    %rsi,0x18(%rsp)
    978f:	e8 4c 91 ff ff       	callq  28e0 <xstrdup@plt>
    9794:	48 8b 74 24 18       	mov    0x18(%rsp),%rsi
    9799:	4c 8b 4c 24 28       	mov    0x28(%rsp),%r9
    979e:	44 8b 54 24 24       	mov    0x24(%rsp),%r10d
    97a3:	48 89 06             	mov    %rax,(%rsi)
    97a6:	48 8b 44 24 08       	mov    0x8(%rsp),%rax
    97ab:	49 c7 44 01 08 00 00 	movq   $0x0,0x8(%r9,%rax,1)
    97b2:	00 00 
    97b4:	0f b6 13             	movzbl (%rbx),%edx
    97b7:	f6 44 55 00 40       	testb  $0x40,0x0(%rbp,%rdx,2)
    97bc:	48 89 d0             	mov    %rdx,%rax
    97bf:	74 19                	je     97da <bfd_seek@plt+0x6baa>
    97c1:	0f 1f 80 00 00 00 00 	nopl   0x0(%rax)
    97c8:	0f b6 53 01          	movzbl 0x1(%rbx),%edx
    97cc:	48 83 c3 01          	add    $0x1,%rbx
    97d0:	48 89 d0             	mov    %rdx,%rax
    97d3:	f6 44 55 00 40       	testb  $0x40,0x0(%rbp,%rdx,2)
    97d8:	75 ee                	jne    97c8 <bfd_seek@plt+0x6b98>
    97da:	49 83 c4 01          	add    $0x1,%r12
    97de:	84 c0                	test   %al,%al
    97e0:	0f 85 be fe ff ff    	jne    96a4 <bfd_seek@plt+0x6a74>
    97e6:	48 8b 7c 24 10       	mov    0x10(%rsp),%rdi
    97eb:	4c 89 4c 24 08       	mov    %r9,0x8(%rsp)
    97f0:	e8 7b 8e ff ff       	callq  2670 <free@plt>
    97f5:	4c 8b 4c 24 08       	mov    0x8(%rsp),%r9
    97fa:	48 83 c4 38          	add    $0x38,%rsp
    97fe:	5b                   	pop    %rbx
    97ff:	5d                   	pop    %rbp
    9800:	4c 89 c8             	mov    %r9,%rax
    9803:	41 5c                	pop    %r12
    9805:	41 5d                	pop    %r13
    9807:	41 5e                	pop    %r14
    9809:	41 5f                	pop    %r15
    980b:	c3                   	retq   
    980c:	0f 1f 40 00          	nopl   0x0(%rax)
    9810:	41 bf 01 00 00 00    	mov    $0x1,%r15d
    9816:	e9 06 ff ff ff       	jmpq   9721 <bfd_seek@plt+0x6af1>
    981b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)
    9820:	45 85 f6             	test   %r14d,%r14d
    9823:	74 1b                	je     9840 <bfd_seek@plt+0x6c10>
    9825:	3c 22                	cmp    $0x22,%al
    9827:	74 57                	je     9880 <bfd_seek@plt+0x6c50>
    9829:	88 02                	mov    %al,(%rdx)
    982b:	45 89 ef             	mov    %r13d,%r15d
    982e:	48 83 c2 01          	add    $0x1,%rdx
    9832:	e9 ea fe ff ff       	jmpq   9721 <bfd_seek@plt+0x6af1>
    9837:	66 0f 1f 84 00 00 00 	nopw   0x0(%rax,%rax,1)
    983e:	00 00 
    9840:	3c 27                	cmp    $0x27,%al
    9842:	74 4c                	je     9890 <bfd_seek@plt+0x6c60>
    9844:	3c 22                	cmp    $0x22,%al
    9846:	74 78                	je     98c0 <bfd_seek@plt+0x6c90>
    9848:	88 02                	mov    %al,(%rdx)
    984a:	45 89 f7             	mov    %r14d,%r15d
    984d:	45 89 f5             	mov    %r14d,%r13d
    9850:	48 83 c2 01          	add    $0x1,%rdx
    9854:	e9 c8 fe ff ff       	jmpq   9721 <bfd_seek@plt+0x6af1>
    9859:	0f 1f 80 00 00 00 00 	nopl   0x0(%rax)
    9860:	45 31 ed             	xor    %r13d,%r13d
    9863:	e9 b9 fe ff ff       	jmpq   9721 <bfd_seek@plt+0x6af1>
    9868:	0f 1f 84 00 00 00 00 	nopl   0x0(%rax,%rax,1)
    986f:	00 
    9870:	45 31 f6             	xor    %r14d,%r14d
    9873:	45 31 ed             	xor    %r13d,%r13d
    9876:	45 31 ff             	xor    %r15d,%r15d
    9879:	e9 fa fe ff ff       	jmpq   9778 <bfd_seek@plt+0x6b48>
    987e:	66 90                	xchg   %ax,%ax
    9880:	45 89 ef             	mov    %r13d,%r15d
    9883:	45 31 f6             	xor    %r14d,%r14d
    9886:	e9 96 fe ff ff       	jmpq   9721 <bfd_seek@plt+0x6af1>
    988b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)
    9890:	45 89 f7             	mov    %r14d,%r15d
    9893:	41 bd 01 00 00 00    	mov    $0x1,%r13d
    9899:	e9 83 fe ff ff       	jmpq   9721 <bfd_seek@plt+0x6af1>
    989e:	66 90                	xchg   %ax,%ax
    98a0:	bf 40 00 00 00       	mov    $0x40,%edi
    98a5:	e8 f6 8f ff ff       	callq  28a0 <xmalloc@plt>
    98aa:	41 ba 08 00 00 00    	mov    $0x8,%r10d
    98b0:	49 89 c1             	mov    %rax,%r9
    98b3:	e9 3d fe ff ff       	jmpq   96f5 <bfd_seek@plt+0x6ac5>
    98b8:	0f 1f 84 00 00 00 00 	nopl   0x0(%rax,%rax,1)
    98bf:	00 
    98c0:	45 89 f7             	mov    %r14d,%r15d
    98c3:	45 89 f5             	mov    %r14d,%r13d
    98c6:	41 be 01 00 00 00    	mov    $0x1,%r14d
    98cc:	e9 50 fe ff ff       	jmpq   9721 <bfd_seek@plt+0x6af1>
    98d1:	4c 89 c8             	mov    %r9,%rax
    98d4:	c3                   	retq   
    98d5:	66 66 2e 0f 1f 84 00 	data16 nopw %cs:0x0(%rax,%rax,1)
    98dc:	00 00 00 00 
    98e0:	f3 0f 1e fa          	endbr64 
    98e4:	48 85 f6             	test   %rsi,%rsi
    98e7:	0f 84 d3 00 00 00    	je     99c0 <bfd_seek@plt+0x6d90>
    98ed:	41 57                	push   %r15
    98ef:	41 56                	push   %r14
    98f1:	49 be 21 00 00 00 00 	movabs $0x400000000000021,%r14
    98f8:	00 00 04 
    98fb:	41 55                	push   %r13
    98fd:	49 89 fd             	mov    %rdi,%r13
    9900:	41 54                	push   %r12
    9902:	55                   	push   %rbp
    9903:	48 89 f5             	mov    %rsi,%rbp
    9906:	53                   	push   %rbx
    9907:	48 83 ec 08          	sub    $0x8,%rsp
    990b:	48 8b 1f             	mov    (%rdi),%rbx
    990e:	48 85 db             	test   %rbx,%rbx
    9911:	0f 84 9c 00 00 00    	je     99b3 <bfd_seek@plt+0x6d83>
    9917:	0f b6 03             	movzbl (%rbx),%eax
    991a:	84 c0                	test   %al,%al
    991c:	74 72                	je     9990 <bfd_seek@plt+0x6d60>
    991e:	4c 8b 25 a3 76 00 00 	mov    0x76a3(%rip),%r12        # 10fc8 <bfd_seek@plt+0xe398>
    9925:	eb 15                	jmp    993c <bfd_seek@plt+0x6d0c>
    9927:	66 0f 1f 84 00 00 00 	nopw   0x0(%rax,%rax,1)
    992e:	00 00 
    9930:	0f b6 43 01          	movzbl 0x1(%rbx),%eax
    9934:	48 83 c3 01          	add    $0x1,%rbx
    9938:	84 c0                	test   %al,%al
    993a:	74 54                	je     9990 <bfd_seek@plt+0x6d60>
    993c:	0f b6 d0             	movzbl %al,%edx
    993f:	44 0f be f8          	movsbl %al,%r15d
    9943:	41 f6 04 54 40       	testb  $0x40,(%r12,%rdx,2)
    9948:	75 0d                	jne    9957 <bfd_seek@plt+0x6d27>
    994a:	83 e8 22             	sub    $0x22,%eax
    994d:	3c 3a                	cmp    $0x3a,%al
    994f:	77 18                	ja     9969 <bfd_seek@plt+0x6d39>
    9951:	49 0f a3 c6          	bt     %rax,%r14
    9955:	73 12                	jae    9969 <bfd_seek@plt+0x6d39>
    9957:	48 89 ee             	mov    %rbp,%rsi
    995a:	bf 5c 00 00 00       	mov    $0x5c,%edi
    995f:	e8 8c 8f ff ff       	callq  28f0 <fputc@plt>
    9964:	83 f8 ff             	cmp    $0xffffffff,%eax
    9967:	74 10                	je     9979 <bfd_seek@plt+0x6d49>
    9969:	48 89 ee             	mov    %rbp,%rsi
    996c:	44 89 ff             	mov    %r15d,%edi
    996f:	e8 7c 8f ff ff       	callq  28f0 <fputc@plt>
    9974:	83 f8 ff             	cmp    $0xffffffff,%eax
    9977:	75 b7                	jne    9930 <bfd_seek@plt+0x6d00>
    9979:	b8 01 00 00 00       	mov    $0x1,%eax
    997e:	48 83 c4 08          	add    $0x8,%rsp
    9982:	5b                   	pop    %rbx
    9983:	5d                   	pop    %rbp
    9984:	41 5c                	pop    %r12
    9986:	41 5d                	pop    %r13
    9988:	41 5e                	pop    %r14
    998a:	41 5f                	pop    %r15
    998c:	c3                   	retq   
    998d:	0f 1f 00             	nopl   (%rax)
    9990:	48 89 ee             	mov    %rbp,%rsi
    9993:	bf 0a 00 00 00       	mov    $0xa,%edi
    9998:	e8 53 8f ff ff       	callq  28f0 <fputc@plt>
    999d:	83 f8 ff             	cmp    $0xffffffff,%eax
    99a0:	74 d7                	je     9979 <bfd_seek@plt+0x6d49>
    99a2:	49 8b 5d 08          	mov    0x8(%r13),%rbx
    99a6:	49 83 c5 08          	add    $0x8,%r13
    99aa:	48 85 db             	test   %rbx,%rbx
    99ad:	0f 85 64 ff ff ff    	jne    9917 <bfd_seek@plt+0x6ce7>
    99b3:	31 c0                	xor    %eax,%eax
    99b5:	eb c7                	jmp    997e <bfd_seek@plt+0x6d4e>
    99b7:	66 0f 1f 84 00 00 00 	nopw   0x0(%rax,%rax,1)
    99be:	00 00 
    99c0:	b8 01 00 00 00       	mov    $0x1,%eax
    99c5:	c3                   	retq   
    99c6:	66 2e 0f 1f 84 00 00 	nopw   %cs:0x0(%rax,%rax,1)
    99cd:	00 00 00 
    99d0:	f3 0f 1e fa          	endbr64 
    99d4:	41 57                	push   %r15
    99d6:	41 56                	push   %r14
    99d8:	41 55                	push   %r13
    99da:	41 54                	push   %r12
    99dc:	55                   	push   %rbp
    99dd:	53                   	push   %rbx
    99de:	48 81 ec f8 00 00 00 	sub    $0xf8,%rsp
    99e5:	64 48 8b 04 25 28 00 	mov    %fs:0x28,%rax
    99ec:	00 00 
    99ee:	48 89 84 24 e8 00 00 	mov    %rax,0xe8(%rsp)
    99f5:	00 
    99f6:	31 c0                	xor    %eax,%eax
    99f8:	48 8b 06             	mov    (%rsi),%rax
    99fb:	83 3f 01             	cmpl   $0x1,(%rdi)
    99fe:	48 89 44 24 48       	mov    %rax,0x48(%rsp)
